sample  ,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,tumor,cell_line,E2_status
Adrenal.22,100128108,4.162224185,4.475902449,1.766653834,0.027236593,0.999954013,Adrenal,MCF7,E2
Adrenal.22,105375110,4.141293654,4.253510027,2.88946577,0.010506997,0.999954013,Adrenal,MCF7,E2
Adrenal.22,126868,4.131931427,4.236088968,2.973277453,0.010011711,0.999954013,Adrenal,MCF7,E2
Adrenal.22,283314,4.127913248,4.293038391,2.418404413,0.01539786,0.999954013,Adrenal,MCF7,E2
Adrenal.22,118788,4.09265897,4.405513121,1.717421102,0.030270798,0.999954013,Adrenal,MCF7,E2
Adrenal.22,101927620,4.088646081,4.253510027,2.387130482,0.016461201,0.999954013,Adrenal,MCF7,E2
Adrenal.22,53630,4.086270669,4.171047867,3.191105047,0.009176967,0.999954013,Adrenal,MCF7,E2
Adrenal.22,169044,4.086270669,4.171047867,3.191105047,0.009176967,0.999954013,Adrenal,MCF7,E2
Adrenal.22,79400,4.059211249,4.171047867,2.820707285,0.012177094,0.999954013,Adrenal,MCF7,E2
Adrenal.22,7018,4.043357457,4.127979145,3.154254478,0.009934837,0.999954013,Adrenal,MCF7,E2
Adrenal.22,375611,4.043357457,4.127979145,3.154254478,0.009934837,0.999954013,Adrenal,MCF7,E2
Adrenal.22,79937,4.031514849,4.343610682,1.674739482,0.033173071,0.999954013,Adrenal,MCF7,E2
Adrenal.22,270,4.02666468,4.083585026,3.653699932,0.00766075,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9900,4.02666468,4.083585026,3.653699932,0.00766075,0.999954013,Adrenal,MCF7,E2
Adrenal.22,83988,4.021412488,4.105952839,3.135473315,0.010344183,0.999954013,Adrenal,MCF7,E2
Adrenal.22,729665,4.019568703,4.331512539,1.666465906,0.03376705,0.999954013,Adrenal,MCF7,E2
Adrenal.22,148738,4.006752245,4.171047867,2.322494038,0.018892168,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84689,4.006752245,4.171047867,2.322494038,0.018892168,0.999954013,Adrenal,MCF7,E2
Adrenal.22,55195,4.006752245,4.171047867,2.322494038,0.018892168,0.999954013,Adrenal,MCF7,E2
