genes,logFC
84951,7.224139566
401612,7.093336821
254099,6.809734321
100128511,6.736969596
100505676,6.694980622
100302182,6.634164102
140885,6.601433177
105371242,6.34469245
921,6.246295998
100506286,6.226035498
117532,6.226035498
100506804,6.226035498
100379249,6.083310049
6578,6.03863202
9024,6.030469892
319,5.959026768
387496,5.959026768
11019,5.896387067
972,5.896387067
7352,5.841876095
400658,5.841876095
728656,5.81226057
63947,5.81226057
93589,5.733436498
390748,5.703877585
100506314,5.515235537
103611081,5.495554182
55504,5.481665938
441234,5.481665938
4135,5.454302051
100134368,5.427470849
2192,5.427470849
100506071,5.39330197
286336,5.375327945
3679,5.303044699
100189209,5.229819903
2199,5.229819903
2747,5.133418338
26772,5.085205981
28958,4.930526216
340554,4.897335969
51760,4.890115786
101929141,4.883734676
91419,4.879243709
100616224,4.843772026
147807,4.843772026
101929238,4.843772026
5649,4.843772026
401509,4.843772026
257144,4.818051692
650655,4.811680098
286480,4.786214524
399948,4.767495345
100294362,4.741663018
23114,4.734701284
51054,4.734701284
100189168,4.734701284
197187,4.734701284
10874,4.734701284
9627,4.683043336
143879,4.674688227
196294,4.665173852
54587,4.652892812
8790,4.631834083
145483,4.550106929
8552,4.522807795
5333,4.496503083
8644,4.472172482
783,4.430943067
100885776,4.430943067
729092,4.417442322
80024,4.36899663
25806,4.324617345
1506,4.295544886
27238,4.273971992
80149,4.248164805
92104,4.239339021
101927181,4.235630999
65072,4.197198509
100189298,4.183165376
401647,4.183165376
79663,4.181405642
54852,4.151002461
340390,4.134177609
2180,4.102405698
6556,4.082097838
375611,4.082097838
5919,4.082097838
65018,4.080125721
64410,4.080125721
142940,4.056463446
100507218,4.019631948
2055,4.018899135
348793,4.016221937
80315,4.009724072
8372,3.997156276
101928085,3.990791298
1058,3.987208053
259173,3.931285486
124923,3.929671758
2627,3.925886445
196500,3.916938958
145438,3.916938958
100506473,3.916938958
9978,3.916938958
84808,3.8992319
9048,3.8992319
126661,3.8992319
11147,3.8992319
147686,3.87296355
22888,3.856424277
10349,3.812629
10216,3.797844057
8034,3.790234463
146206,3.788110456
54981,3.784831113
55142,3.779235157
56851,3.77714111
56125,3.771819802
100189205,3.768760131
8846,3.721429421
79712,3.719116995
161823,3.712205502
105379282,3.70761918
8997,3.70761918
100293704,3.684939268
100316904,3.684939268
755,3.681065736
5190,3.672116331
730102,3.66892204
164045,3.661238566
55765,3.653792596
1540,3.646801999
10810,3.641800678
54958,3.63439311
100189071,3.63439311
29063,3.632061679
1294,3.613996936
84233,3.611036275
64800,3.609736877
767,3.591751702
53820,3.573485846
100131193,3.571628599
388743,3.570740569
27304,3.566338053
338799,3.563747147
10671,3.561591417
80307,3.534416133
644873,3.533341381
10230,3.526607513
100616469,3.522049753
341208,3.518075728
645638,3.518075728
4701,3.518075728
51003,3.5114812
3357,3.5114812
100526694,3.506901469
245812,3.474340388
84549,3.441216291
92935,3.427905451
105378176,3.41686103
8692,3.414419343
440585,3.410349808
55711,3.398223754
386724,3.398223754
8575,3.398075453
3931,3.390656893
81559,3.383122928
25992,3.383122928
79095,3.380976364
120526,3.369390394
60401,3.350567722
57143,3.34270849
22944,3.33184208
100874039,3.318867846
100288152,3.311562484
57419,3.311156364
101954267,3.293213935
197358,3.293213935
9252,3.279221682
55016,3.279221682
29093,3.279221682
4528,3.249977202
91120,3.238867669
10953,3.236788513
1819,3.210434651
11070,3.207181699
375757,3.200501144
55748,3.190775402
6392,3.173600658
54532,3.166820777
137695,3.166818014
5166,3.158764717
2967,3.151321897
23780,3.151321897
693197,3.147568448
4671,3.139496137
9064,3.130942547
