genes,logFC
10817,3.298452872
9542,3.251654057
387104,3.251654057
24,3.250781319
79365,3.250781319
100652824,3.250781319
346007,3.250781319
5243,3.250781319
93986,3.250781319
138474,3.250781319
254778,3.212706481
100873995,3.199417251
3683,3.199417251
10891,3.199417251
201853,3.194872447
7253,3.173287497
22861,3.173287497
83659,3.173287497
10913,3.173287497
89857,3.173287497
26112,3.173287497
136332,3.173287497
9568,3.173287497
256714,3.173287497
57821,3.14521778
9154,3.14521778
58476,3.14521778
55824,3.14521778
57731,3.130529465
3772,3.130529465
5799,3.121495133
8514,3.117334846
257169,3.112730979
80320,3.11230704
146754,3.10426723
342125,3.091393661
117286,3.091393661
399473,3.091393661
166348,3.091393661
53829,3.091393661
79940,3.091393661
10345,3.091393661
3908,3.088902382
2651,3.087616253
84553,3.086831111
309,3.084412797
100506409,3.065671284
340156,3.063185359
6263,3.060440779
51103,3.051313659
144535,3.03029911
116154,3.03029911
1756,3.03029911
79935,3.025004671
65217,3.014899692
140876,3.003226269
120,2.992467054
57795,2.977039017
6345,2.969214171
101927666,2.969214171
57096,2.967539379
9899,2.950641337
201625,2.950641337
3274,2.950641337
23639,2.950641337
283310,2.931428773
100132813,2.922693768
23105,2.901932193
223075,2.898354206
8701,2.873245081
3752,2.858176005
56241,2.846641317
27286,2.830361833
6097,2.729147168
677842,-2.590307982
100169768,-2.603884247
26818,-2.614313065
677838,-2.638291852
9302,-2.660257025
64135,-2.673651394
56937,-2.692181159
4938,-2.701598243
26788,-2.730214879
26791,-2.734846365
100616436,-2.765396793
57575,-2.777461465
4939,-2.788259147
677846,-2.788261907
1038,-2.789039626
8001,-2.817351949
677765,-2.819169491
89927,-2.836845667
100287616,-2.842577846
7045,-2.851876192
4430,-2.856931612
692058,-2.858989328
10409,-2.859094303
100113392,-2.872693577
3431,-2.887398321
6662,-2.890868376
2537,-2.896148935
145978,-2.932093766
7052,-2.936894029
1824,-2.939121619
677825,-2.947570461
84875,-2.9698298
112399,-2.980154613
677780,-2.987180488
619571,-2.993705146
113146,-3.011089241
1287,-3.011411006
1829,-3.011744006
55337,-3.029224386
201294,-3.035974744
677778,-3.062322587
6890,-3.078842843
147808,-3.089072819
100189214,-3.089072819
100126533,-3.100001384
100169751,-3.116330946
1958,-3.124351762
4016,-3.138763852
57007,-3.153114223
2354,-3.162588287
6281,-3.168259949
10205,-3.168814833
100169753,-3.17822635
3433,-3.178374185
144501,-3.189700613
7078,-3.197279605
100169759,-3.226689815
4586,-3.23653103
100169757,-3.241938209
100169758,-3.241938209
100169756,-3.243771976
1048,-3.252456298
100169754,-3.252906011
100169755,-3.252906011
4940,-3.261107623
26822,-3.280018098
5376,-3.289214861
2568,-3.306750831
102724235,-3.324079766
23213,-3.35148208
6445,-3.36301921
345557,-3.372873461
8942,-3.413274026
822,-3.449301232
101954273,-3.465783147
338758,-3.465783147
706,-3.465783147
64168,-3.471488116
100189399,-3.476470235
221393,-3.482671465
306,-3.514516802
11254,-3.515193478
642587,-3.519707356
100189005,-3.559186917
10964,-3.62233931
9080,-3.645378796
54947,-3.645378796
3914,-3.670959741
3691,-3.672059836
26811,-3.687034332
100189323,-3.732866415
4148,-3.762690873
7214,-3.791911245
26828,-3.805611414
3760,-3.810249396
753,-3.81780364
7503,-3.827162249
54739,-3.857089024
3429,-3.892582583
3437,-3.906078291
3694,-3.93786947
10150,-4.004780894
54751,-4.008800666
9249,-4.025645765
7231,-4.045871715
4680,-4.063301451
129607,-4.082316135
3852,-4.195906883
10561,-4.233100649
1382,-4.236402545
10125,-4.317657586
30014,-4.404366401
728712,-4.404366401
100188988,-4.430823666
7477,-4.535415688
374,-4.666949641
7035,-4.707804308
858,-4.760816477
3106,-4.859532266
857,-4.932851537
100131626,-4.934043701
101928687,-5.090604533
54809,-5.779673443
100169760,-5.852450545
3488,-6.660261483
26085,8.965516227
6066,8.86096445
563,6.748718218
23495,5.675195203
4286,5.669262525
1836,5.565905896
100653133,5.4917074
101060569,5.483735061
222,5.482771656
171482,5.35395145
5655,5.304144275
100309464,5.228731525
1363,5.004309538
5104,4.959117223
1475,4.946851044
150,4.81485007
146395,4.806197283
260293,4.784798416
100216479,4.683233744
84848,4.67765696
23026,4.676615345
84630,4.657809103
101929005,4.573715359
346689,4.530635416
93035,4.489051106
79935,4.438018609
105373990,4.432576516
79365,4.339158197
273,4.324539775
55504,4.294420376
152098,4.277512801
100132708,4.238247288
6447,4.124107063
3899,4.102424016
574029,4.088763566
118430,4.0371456
200772,4.02628335
101928932,4.010652493
8556,3.97889019
283777,3.976115526
100507401,3.970325869
646802,3.91211009
11012,3.886776438
145837,3.845717428
6101,3.845717428
646817,3.82302184
283310,3.806010402
54769,3.792111173
731656,3.775814575
151790,3.775814575
56999,3.757851179
129530,3.739550579
3698,3.729673256
1582,3.702351486
100506944,3.702351486
146177,3.696447661
316,3.690971136
100191040,3.668567065
10002,3.659487404
100505676,3.650491785
2042,3.643664585
43849,3.622817516
56241,3.55419437
26166,3.544899691
105373132,3.543150712
121643,3.543150712
401546,3.521613421
150384,3.500445635
55911,3.499139043
100507398,3.456437787
257169,3.456437787
4588,3.453754137
196743,3.411045176
56203,3.380400527
57731,3.296586727
347516,3.27782989
100129845,3.201994236
100874375,3.173833018
4582,3.14088913
1124,3.132886012
9148,3.108852081
50856,3.108852081
10538,3.088155105
148741,3.087277482
5327,3.084781404
94121,3.080323548
7366,3.079703428
90993,3.074144915
25849,3.070729314
253982,3.05685981
154761,3.055597924
100130449,3.000243442
54848,2.952045762
12,2.947702532
79574,2.942604619
10164,2.915139376
254778,2.915139376
100533105,2.871406655
2938,2.868809305
23678,2.82409201
57562,2.806882988
9846,2.802174822
339862,2.773261734
157506,2.742674493
55638,2.720500814
51806,2.618468637
144501,-2.639072327
23092,-2.648218752
286467,-2.750964644
374,-2.758348603
130271,-2.768471728
10561,-2.772839334
3248,-2.779710226
9315,-2.824659009
55765,-2.839429615
441376,-2.859576903
169611,-2.879000583
6695,-2.902448454
378832,-2.958745053
23213,-2.963581777
60437,-3.008700263
8676,-3.086890873
7052,-3.087220033
4774,-3.092457652
6402,-3.095780685
347731,-3.124453253
56937,-3.160375823
7042,-3.210412101
254295,-3.27398847
753,-3.313927931
117154,-3.317845546
375295,-3.319481913
9201,-3.355681674
301,-3.372495484
118738,-3.40390539
387082,-3.40390539
10642,-3.406378838
100170219,-3.430586713
100628315,-3.433943282
8626,-3.488337775
6594,-3.488337775
103611157,-3.554206312
399948,-3.554206312
4880,-3.554206312
345557,-3.557770088
101928961,-3.591604372
101929595,-3.623865522
4326,-3.690315654
100874070,-3.690315654
101929805,-3.700669297
401934,-3.709507352
101927359,-3.716422382
7851,-3.74696395
145978,-3.76010847
25984,-3.814683689
2152,-3.840113468
642559,-3.876505997
647946,-3.929176226
10964,-3.968945988
100507347,-4.035246883
7546,-4.035246883
100169959,-4.056899665
1591,-4.066322163
2139,-4.085637335
1281,-4.174502043
10125,-4.195652634
5787,-4.226518516
29909,-4.301294195
3776,-4.315756397
11174,-4.345423548
2069,-4.546521589
2201,-4.868156252
2977,-5.168449418
3694,-5.205888393
219578,-5.308880102
387914,-5.430502271
57575,-5.654823898
2568,-6.186799932
339479,-6.428413143
283463,7.041404756
100131257,6.101229874
285313,5.896788894
101929335,5.773736011
3371,5.731193076
55816,5.660600827
100846978,5.445740398
4584,5.340558172
23114,5.237240995
55911,5.179321427
89795,5.118978964
63895,5.07730125
79776,5.034383607
4143,4.981287074
4036,4.944517144
641455,4.899519245
2904,4.897393637
22873,4.897393637
285175,4.897393637
4915,4.897393637
9256,4.798261341
10350,4.798261341
26085,4.777685401
773,4.747321072
83657,4.746017971
284837,4.746017971
1612,4.691811433
54885,4.691811433
63928,4.653146989
10202,4.648417857
133396,4.645085395
8029,4.635488405
10562,4.633004052
273,4.578553708
3651,4.576876871
124773,4.576876871
6854,4.576876871
51252,4.546653282
105373990,4.525167463
4744,4.515782955
27145,4.515782955
654463,4.498750106
59352,4.467926069
101927666,4.451987046
916,4.424699763
259232,4.424699763
230,4.385239041
129446,4.385239041
646300,4.385239041
1384,4.385239041
253982,4.342762309
2153,4.32396124
6910,4.315252415
10071,4.302757305
653113,4.300444477
64333,4.300444477
253573,4.300444477
93432,4.300444477
9369,4.2856077
266675,4.241696795
126638,4.241696795
55359,4.241696795
4069,4.241696795
150084,4.241696795
728194,4.234058687
56999,4.225490219
116496,4.205699209
645784,4.204429025
54715,4.164470182
127670,4.164188524
716,4.164188524
84530,4.164188524
146212,4.164188524
152273,4.164188524
4045,4.164188524
57709,4.164188524
5294,4.164188524
91156,4.164021494
653641,4.137775607
563,4.126849047
146177,4.119098648
5175,4.096938276
200772,4.091354202
6688,4.08227855
6664,4.08227855
8291,4.08227855
140731,4.08227855
389136,4.08227855
165721,4.08227855
6586,4.08227855
9844,4.08227855
55026,4.08227855
123041,4.039510931
200373,4.031237389
84229,3.995436665
1770,3.995436665
79853,3.995436665
57091,3.995436665
132204,3.995436665
22798,3.995436665
116443,3.995436665
375323,3.984113882
283310,3.935399029
338382,3.93296881
146857,3.93296881
6414,3.93296881
8224,3.912542219
388697,3.903030689
84457,3.903030689
348021,3.903030689
114088,3.903030689
390598,3.903030689
930,3.903030689
391257,3.903030689
100505625,3.903030689
23414,3.903030689
92749,3.8784018
287,3.8784018
646817,3.846739125
441818,3.846739125
645191,3.845977488
115019,3.832738216
25790,3.820668073
3745,3.806464157
5858,3.804298514
51411,3.804298514
91807,3.804298514
339145,3.804298514
646457,3.804298514
5136,3.804298514
199221,3.804298514
10891,3.804298514
401124,3.804298514
80243,3.804298514
2849,3.778531678
344387,3.778531678
800,3.778531678
9496,3.768834881
222256,3.76122333
54848,3.756650818
9715,3.755026025
6853,3.755026025
138474,3.752277288
374407,3.730750344
201625,3.703833483
6286,3.699725144
57554,3.698309867
388698,3.698309867
7139,3.698309867
4005,3.698309867
196500,3.698309867
3798,3.698309867
8639,3.698309867
400618,3.698309867
729723,3.698309867
401014,3.698309867
7060,3.698309867
285848,3.698309867
60468,3.698309867
51384,3.698309867
27147,3.698309867
100189177,3.698309867
23495,3.663597116
100873980,3.650841853
342538,3.650841853
118430,3.644215976
101927914,3.642244951
100874243,3.630153492
8618,3.61467532
270,3.609164138
116285,3.6025032
400867,3.6025032
89766,3.6025032
151887,3.6025032
131034,3.6025032
80258,3.6025032
5327,3.592716612
