raw_id,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,sample,tumor,Cell_line,Estrogen_status
Adrenal.2,401124,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,80243,3.804298514,3.971187301,2.073570671,0.026364215,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,200162,3.151850864,3.177638178,3.822805644,0.026488357,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55130,3.181690471,3.2121954,3.624664176,0.026653431,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,54715,4.164470182,4.485760474,1.679556995,0.027119198,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,101929567,3.33012423,3.3862248,2.964907488,0.027134162,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6900,3.471959286,3.556149802,2.586126544,0.027186776,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,9734,3.471959286,3.556149802,2.586126544,0.027186776,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,137902,3.471959286,3.556149802,2.586126544,0.027186776,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,126433,-3.773992666,-3.923630462,2.246047442,0.027541089,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,7367,3.299638409,3.352173955,3.020896978,0.027627744,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,339479,-3.133191904,-3.158095716,3.898060094,0.027960752,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,138474,3.752277288,3.918719881,2.03451945,0.028652641,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,154664,3.295331167,3.351283433,2.936507082,0.028787692,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4921,3.437390322,3.521384383,2.558695218,0.028796627,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,6101,3.554546543,3.666332719,2.319958573,0.028901865,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,93035,2.973510602,2.983260133,4.995636301,0.029105534,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10720,3.105657182,3.13345873,3.676364342,0.029507329,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,8110,3.27788086,3.33375738,2.922314652,0.029650072,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,84125,3.015125434,3.031728843,4.292784842,0.029886377,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,30817,3.533321204,3.644959069,2.303577929,0.029917158,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,200772,4.091354202,4.411759892,1.628267566,0.030314765,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,5588,3.40197266,3.485760474,2.530743067,0.030532357,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,344405,3.40197266,3.485760474,2.530743067,0.030532357,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,167838,3.40197266,3.485760474,2.530743067,0.030532357,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10404,3.40197266,3.485760474,2.530743067,0.030532357,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10125,-2.891292374,-2.89506131,6.275751013,0.030858795,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
